order_id,warehouse_date,delivery_due_date,product_group,unit_of_measure,volume,tl_cost,ltl_cost
55,01/16/2009,04/10/2009,Eco-Friendly Apparel,1734,66323,890,214
56,01/16/2009,03/23/2009,Eco-Friendly Apparel,1696,28857,890,229
57,10/21/2008,03/16/2009,Eco-Friendly Apparel,1232,29896,890,186
58,02/05/2009,05/28/2009,Eco-Friendly Apparel,1884,59371,890,235
59,02/05/2009,05/04/2009,Eco-Friendly Apparel,1872,61774,890,160
60,02/18/2009,04/28/2009,Handcrafted Home Decor,1037,14005,890,143
61,03/04/2009,09/30/2009,Eco-Friendly Apparel,1307,21255,890,211
62,03/06/2009,03/31/2009,Eco-Friendly Apparel,1141,60029,890,233
63,03/06/2009,03/31/2009,Eco-Friendly Apparel,1283,55408,890,135
64,03/06/2009,04/15/2009,Eco-Friendly Apparel,1585,22548,890,152
65,03/18/2009,04/21/2009,Eco-Friendly Apparel,1621,34305,890,140
66,03/18/2009,06/05/2009,Eco-Friendly Apparel,1254,17803,890,173
67,03/18/2009,06/17/2009,Eco-Friendly Apparel,1510,25093,890,198
68,06/15/2009,08/19/2009,Eco-Friendly Apparel,1694,44698,890,211
69,03/27/2009,04/14/2009,Eco-Friendly Apparel,918,30418,890,187
70,03/27/2009,04/29/2009,Eco-Friendly Apparel,915,63109,890,169
71,03/27/2009,04/20/2009,Eco-Friendly Apparel,1183,43941,890,187
72,03/25/2009,11/13/2009,Handcrafted Home Decor,1172,20155,890,158
73,03/30/2009,06/30/2009,Eco-Friendly Apparel,1172,51579,890,197
74,03/30/2009,07/22/2009,Eco-Friendly Apparel,1555,56250,890,209
75,04/02/2009,04/21/2009,Eco-Friendly Apparel,1794,60599,890,202
76,04/02/2009,04/17/2009,Eco-Friendly Apparel,1448,37675,890,121
77,04/02/2009,04/23/2009,Eco-Friendly Apparel,1575,57772,890,159
78,04/02/2009,09/16/2009,Handcrafted Home Decor,1188,40705,890,253
79,04/04/2009,07/10/2009,Handcrafted Home Decor,1125,28712,890,197
80,04/09/2009,08/18/2009,Handcrafted Home Decor,1385,50423,890,135
81,04/15/2009,07/25/2009,Eco-Friendly Apparel,1499,29357,890,181
82,04/15/2009,09/15/2009,Handcrafted Home Decor,1482,18742,890,230
83,04/29/2009,07/17/2009,Eco-Friendly Apparel,968,22378,890,175
84,04/29/2009,07/10/2009,Eco-Friendly Apparel,1261,63306,890,189
85,05/27/2009,07/10/2009,Handcrafted Home Decor,1343,49082,890,273
86,05/18/2009,09/01/2009,Handcrafted Home Decor,992,49353,890,211
87,05/27/2009,07/28/2009,Eco-Friendly Apparel,1846,18216,890,122
88,06/02/2009,06/29/2009,Handcrafted Home Decor,1140,50405,890,174
89,06/05/2009,07/28/2009,Eco-Friendly Apparel,1691,18071,890,214
90,06/05/2009,08/05/2009,Eco-Friendly Apparel,1231,63096,890,137
91,06/05/2009,07/28/2009,Eco-Friendly Apparel,1548,55481,890,149
92,04/19/2006,06/27/2006,Handcrafted Home Decor,1007,25788,890,249
93,11/15/2006,03/14/2007,Eco-Friendly Apparel,1647,24651,890,237
94,11/15/2006,03/14/2007,Eco-Friendly Apparel,1486,45778,890,226
95,11/17/2006,02/15/2007,Eco-Friendly Apparel,1095,25251,890,124
96,01/09/2007,05/12/2007,Eco-Friendly Apparel,913,55407,890,193
97,12/22/2006,02/27/2007,Eco-Friendly Apparel,1114,25876,890,184
98,12/22/2006,02/27/2007,Eco-Friendly Apparel,1637,44862,890,205
99,12/14/2006,12/28/2006,Handcrafted Home Decor,1336,36848,890,176
100,02/07/2007,08/24/2007,Eco-Friendly Apparel,1748,31793,890,163
101,12/14/2006,01/15/2007,Handcrafted Home Decor,1428,45799,890,198
102,05/09/2007,10/23/2007,Eco-Friendly Apparel,1546,28816,890,196
103,07/13/2007,10/02/2007,Eco-Friendly Apparel,1043,22215,890,132
104,07/03/2007,10/02/2007,Eco-Friendly Apparel,1106,48832,890,170
105,07/03/2007,10/02/2007,Eco-Friendly Apparel,1566,19864,890,188
106,07/04/2007,10/15/2007,Eco-Friendly Apparel,1310,52086,890,181
107,07/04/2007,10/15/2007,Eco-Friendly Apparel,1561,18472,890,212
108,07/04/2007,11/23/2007,Eco-Friendly Apparel,1752,62531,890,193
109,07/03/2007,08/27/2007,Eco-Friendly Apparel,1226,21803,890,224
110,11/12/2007,01/28/2008,Eco-Friendly Apparel,1791,40505,890,171
111,11/12/2007,01/29/2008,Eco-Friendly Apparel,1858,21426,890,216
112,11/12/2007,01/29/2008,Eco-Friendly Apparel,1766,31647,890,197
113,11/21/2007,03/28/2008,Eco-Friendly Apparel,1248,24722,890,218
114,11/30/2007,01/21/2008,Handcrafted Home Decor,1077,34894,890,258
115,12/03/2007,01/28/2008,Eco-Friendly Apparel,1059,60192,890,203
116,12/05/2007,02/01/2008,Eco-Friendly Apparel,1715,40275,890,198
117,11/30/2007,12/27/2007,Handcrafted Home Decor,1338,26398,890,179
118,01/04/2008,01/04/2008,Eco-Friendly Apparel,997,43074,890,125
119,02/04/2008,07/03/2008,Handcrafted Home Decor,954,30413,890,232
120,01/29/2008,07/16/2008,Handcrafted Home Decor,1315,55130,890,207
121,02/19/2008,03/27/2008,Handcrafted Home Decor,1328,20550,890,150
122,02/25/2008,05/14/2008,Handcrafted Home Decor,1212,18405,890,241
123,02/29/2008,05/30/2008,Handcrafted Home Decor,967,19134,890,276
124,02/27/2008,03/04/2009,Handcrafted Home Decor,1248,52061,890,245
125,02/27/2008,07/04/2008,Handcrafted Home Decor,1342,20681,890,142
126,02/28/2008,04/04/2008,Handcrafted Home Decor,1246,59008,890,209
127,02/28/2008,07/22/2008,Handcrafted Home Decor,1318,62674,890,249
128,02/29/2008,12/19/2008,Handcrafted Home Decor,942,29066,890,166
129,02/28/2008,05/06/2008,Handcrafted Home Decor,1447,42798,890,138
130,02/28/2008,07/28/2008,Handcrafted Home Decor,1429,46781,890,158
131,03/17/2008,10/21/2008,Handcrafted Home Decor,1487,42126,890,246
132,02/20/2008,04/24/2008,Eco-Friendly Apparel,1223,55592,890,211
133,02/20/2008,04/24/2008,Eco-Friendly Apparel,1223,38627,890,148
134,02/20/2008,04/24/2008,Eco-Friendly Apparel,1051,47676,890,210
135,03/31/2008,06/20/2008,Eco-Friendly Apparel,906,17569,890,130
136,03/31/2008,06/01/2008,Eco-Friendly Apparel,1249,45674,890,208
137,04/07/2008,05/09/2008,Handcrafted Home Decor,1133,53093,890,216
138,04/04/2008,04/07/2008,Eco-Friendly Apparel,1835,30859,890,201
139,04/04/2008,04/25/2008,Eco-Friendly Apparel,1079,55537,890,172
140,04/04/2008,04/07/2008,Eco-Friendly Apparel,1351,33247,890,200
141,05/13/2008,10/03/2008,Eco-Friendly Apparel,1542,30863,890,137
142,05/13/2008,08/19/2008,Eco-Friendly Apparel,902,22041,890,185
143,05/23/2008,10/27/2008,Handcrafted Home Decor,1506,31106,890,179
144,06/12/2008,08/16/2008,Handcrafted Home Decor,1406,39559,890,210
145,06/13/2008,07/22/2008,Eco-Friendly Apparel,1229,17655,890,141
146,06/13/2008,07/23/2008,Eco-Friendly Apparel,1840,26108,890,174
147,07/01/2008,09/19/2008,Eco-Friendly Apparel,1229,47035,890,231
148,07/03/2008,10/03/2008,Eco-Friendly Apparel,1154,57642,890,169
149,08/21/2008,09/22/2008,Handcrafted Home Decor,1165,17282,890,135
150,08/21/2008,10/29/2008,Handcrafted Home Decor,1476,37930,890,176
151,07/18/2008,10/15/2008,Handcrafted Home Decor,1233,38109,890,228
152,08/21/2008,09/12/2008,Handcrafted Home Decor,951,31089,890,232
153,07/24/2008,12/02/2008,Eco-Friendly Apparel,1107,38009,890,227
154,07/24/2008,11/24/2008,Eco-Friendly Apparel,947,15559,890,142
155,07/24/2008,11/25/2008,Eco-Friendly Apparel,1341,25177,890,189
156,07/24/2008,12/03/2008,Eco-Friendly Apparel,1555,19604,890,184
157,07/28/2008,12/15/2008,Customized Furniture,674,21723,890,508
157,07/28/2008,12/15/2008,Customized Furniture,548,16685,890,388
157,07/28/2008,12/15/2008,Customized Furniture,698,20586,890,509
157,07/28/2008,12/15/2008,Customized Furniture,801,21859,890,410
157,07/28/2008,12/15/2008,Customized Furniture,750,15443,890,430
157,07/28/2008,12/15/2008,Customized Furniture,359,19327,890,453
157,07/28/2008,12/15/2008,Customized Furniture,787,24116,890,484
157,07/28/2008,12/15/2008,Customized Furniture,346,25096,890,352
157,07/28/2008,12/15/2008,Customized Furniture,430,19256,890,391
157,07/28/2008,12/15/2008,Customized Furniture,611,19455,890,394
157,07/28/2008,12/15/2008,Customized Furniture,822,22005,890,458
157,07/28/2008,12/15/2008,Customized Furniture,539,18354,890,419
157,07/28/2008,12/15/2008,Customized Furniture,565,22779,890,341
157,07/28/2008,12/15/2008,Customized Furniture,571,22040,890,360
157,07/28/2008,12/15/2008,Customized Furniture,582,21080,890,362
157,07/28/2008,12/15/2008,Customized Furniture,638,25591,890,392
157,07/28/2008,12/15/2008,Customized Furniture,795,22542,890,366
157,07/28/2008,12/15/2008,Customized Furniture,568,23984,890,402
157,07/28/2008,12/15/2008,Customized Furniture,623,21199,890,393
157,07/28/2008,12/15/2008,Customized Furniture,371,20955,890,438
157,07/28/2008,12/15/2008,Customized Furniture,515,24086,890,361
157,07/28/2008,12/15/2008,Customized Furniture,362,16191,890,414
157,07/28/2008,12/15/2008,Customized Furniture,720,19766,890,452
157,07/28/2008,12/15/2008,Customized Furniture,475,19095,890,419
157,07/28/2008,12/15/2008,Customized Furniture,751,22045,890,462
157,07/28/2008,12/15/2008,Customized Furniture,406,22654,890,462
157,07/28/2008,12/15/2008,Customized Furniture,387,22928,890,373
157,07/28/2008,12/15/2008,Customized Furniture,356,24631,890,448
157,07/28/2008,12/15/2008,Customized Furniture,354,22451,890,349
157,07/28/2008,12/15/2008,Customized Furniture,760,19402,890,343
157,07/28/2008,12/15/2008,Customized Furniture,364,24002,890,405
157,07/28/2008,12/15/2008,Customized Furniture,671,20905,890,479
157,07/28/2008,12/15/2008,Customized Furniture,847,21617,890,416
157,07/28/2008,12/15/2008,Customized Furniture,844,18669,890,391
158,07/30/2008,10/13/2008,Handcrafted Home Decor,1377,64224,890,132
159,07/30/2008,11/03/2008,Handcrafted Home Decor,1323,25571,890,155
160,08/22/2008,10/07/2008,Handcrafted Home Decor,1324,30279,890,131
161,10/27/2008,01/20/2009,Handcrafted Home Decor,1404,32705,890,198
162,10/27/2008,12/03/2008,Handcrafted Home Decor,1350,35220,890,199
163,10/28/2008,02/03/2009,Handcrafted Home Decor,1391,32228,890,146
164,11/03/2008,11/27/2008,Eco-Friendly Apparel,1273,35855,890,156
165,11/20/2008,04/08/2009,Handcrafted Home Decor,984,53200,890,148
166,11/20/2008,01/27/2009,Handcrafted Home Decor,1494,41369,890,237
167,12/23/2008,01/27/2009,Handcrafted Home Decor,1132,52273,890,147
168,01/13/2009,03/02/2009,Handcrafted Home Decor,916,46791,890,255
169,01/16/2009,04/07/2009,Eco-Friendly Apparel,1536,22131,890,141
170,01/16/2009,04/10/2009,Eco-Friendly Apparel,1382,29828,890,176
171,02/03/2009,04/08/2009,Eco-Friendly Apparel,1666,53324,890,193
172,02/03/2009,03/16/2009,Handcrafted Home Decor,1202,41769,890,212
173,03/06/2009,04/02/2009,Eco-Friendly Apparel,947,32819,890,211
174,03/11/2009,05/26/2009,Handcrafted Home Decor,1292,27647,890,134
175,03/19/2009,05/04/2009,Eco-Friendly Apparel,1050,27931,890,168
176,03/18/2009,04/17/2009,Eco-Friendly Apparel,1478,40880,890,196
177,03/27/2009,04/20/2009,Eco-Friendly Apparel,1684,42637,890,138
178,03/27/2009,04/20/2009,Eco-Friendly Apparel,1687,47408,890,219
179,10/21/2008,04/20/2009,Eco-Friendly Apparel,1206,39742,890,135
180,04/02/2009,04/20/2009,Eco-Friendly Apparel,1295,20285,890,234
181,04/02/2009,05/04/2009,Eco-Friendly Apparel,1030,40686,890,164
182,04/02/2009,06/08/2009,Eco-Friendly Apparel,1116,37226,890,214
183,03/31/2009,06/05/2009,Handcrafted Home Decor,1267,41917,890,245
184,03/30/2009,07/01/2009,Handcrafted Home Decor,992,37252,890,225
185,04/02/2009,04/23/2009,Eco-Friendly Apparel,1059,16034,890,165
186,04/01/2009,05/20/2009,Eco-Friendly Apparel,1867,23660,890,217
187,04/04/2009,06/18/2009,Handcrafted Home Decor,978,17685,890,225
188,04/04/2009,06/18/2009,Handcrafted Home Decor,1048,42408,890,267
189,04/07/2009,07/14/2009,Eco-Friendly Apparel,1544,42003,890,156
190,04/15/2009,07/20/2009,Eco-Friendly Apparel,1465,16263,890,160
191,04/15/2009,07/15/2009,Handcrafted Home Decor,1311,22458,890,161
192,04/27/2009,06/15/2009,Handcrafted Home Decor,1259,25393,890,263
193,04/29/2009,06/08/2009,Eco-Friendly Apparel,1398,54402,890,171
194,04/29/2009,06/09/2009,Handcrafted Home Decor,971,18311,890,146
195,05/08/2009,08/18/2009,Eco-Friendly Apparel,1842,30678,890,237
196,05/27/2009,08/19/2009,Eco-Friendly Apparel,1585,46599,890,150
197,06/05/2009,08/03/2009,Eco-Friendly Apparel,1011,19605,890,146
198,06/05/2009,07/21/2009,Eco-Friendly Apparel,1395,17074,890,205
199,06/06/2009,10/29/2009,Handcrafted Home Decor,1431,43956,890,172
200,07/15/2009,08/07/2009,Eco-Friendly Apparel,1368,48740,890,221
201,11/14/2006,03/14/2007,Eco-Friendly Apparel,1045,38385,890,227
202,11/15/2006,03/14/2007,Eco-Friendly Apparel,1137,61792,890,151
203,02/07/2007,07/09/2007,Eco-Friendly Apparel,1019,53047,890,176
204,03/08/2007,06/06/2007,Eco-Friendly Apparel,1700,31951,890,181
205,05/01/2007,06/28/2007,Handcrafted Home Decor,1149,49778,890,160
206,06/08/2007,07/10/2007,Handcrafted Home Decor,991,40863,890,156
207,06/08/2007,08/03/2007,Handcrafted Home Decor,1470,40872,890,161
208,06/21/2007,07/04/2007,Handcrafted Home Decor,1027,17812,890,180
209,07/03/2007,10/02/2007,Eco-Friendly Apparel,1735,31052,890,137
210,07/03/2007,10/02/2007,Eco-Friendly Apparel,965,24431,890,201
211,07/03/2007,11/08/2007,Eco-Friendly Apparel,1722,21782,890,218
212,07/20/2007,09/10/2007,Eco-Friendly Apparel,959,35951,890,144
213,08/15/2007,01/22/2008,Handcrafted Home Decor,1374,14576,890,273
214,07/31/2007,08/29/2007,Handcrafted Home Decor,1538,29291,890,182
215,10/03/2007,12/24/2007,Eco-Friendly Apparel,1629,52910,890,217
216,08/28/2007,12/03/2007,Handcrafted Home Decor,1038,54202,890,168
217,10/03/2007,03/31/2008,Eco-Friendly Apparel,912,45334,890,124
218,11/12/2007,01/29/2008,Eco-Friendly Apparel,1286,34317,890,129
219,11/12/2007,01/29/2008,Eco-Friendly Apparel,1486,54019,890,122
220,11/12/2007,01/29/2008,Eco-Friendly Apparel,1530,33977,890,155
221,11/16/2007,01/10/2008,Handcrafted Home Decor,1514,56653,890,150
222,12/05/2007,01/22/2008,Eco-Friendly Apparel,1844,36717,890,158
223,01/03/2008,02/18/2008,Handcrafted Home Decor,1485,58780,890,229
224,01/04/2008,01/04/2008,Eco-Friendly Apparel,1154,43907,890,165
225,01/04/2008,01/04/2008,Eco-Friendly Apparel,1113,38543,890,135
226,01/04/2008,01/04/2008,Eco-Friendly Apparel,1375,43821,890,227
227,01/04/2008,01/04/2008,Eco-Friendly Apparel,1010,31304,890,162
